Data;Close;lr;sd_f22;sd_f11;sd_f5;sd_h22;sd_h11;sd_h5
05/07/2016;2088.550049;-0.006871029;0.004695543;0.0054623;0.007282007;0.011566029;0.015705385;0.00956388
06/07/2016;2099.72998;0.005338687;0.004354967;0.004574314;0.005270348;0.011610903;0.015692728;0.008447997
07/07/2016;2097.899902;-0.000871958;0.004528752;0.004973046;0.005786449;0.011562919;0.015685164;0.006751636
08/07/2016;2129.899902;0.015138187;0.004529701;0.004852759;0.005020518;0.011998293;0.016219921;0.007298264
11/07/2016;2137.159912;0.003402819;0.003467492;0.003413724;0.002990905;0.011999404;0.015835173;0.007282007
12/07/2016;2152.139893;0.006984843;0.003523239;0.003383171;0.00298914;0.012066795;0.010477319;0.005270348
13/07/2016;2152.429932;0.000134759;0.003371238;0.002932488;0.002461776;0.011870204;0.007746035;0.005786449
14/07/2016;2163.75;0.005245423;0.003383955;0.002941365;0.002688219;0.011717308;0.006927763;0.005020518
15/07/2016;2161.73999;-0.000929379;0.0032695;0.002602172;0.00281985;0.011706491;0.006117785;0.002990905
18/07/2016;2166.889893;0.002379462;0.003494015;0.002619961;0.003228363;0.011678887;0.005320213;0.00298914
19/07/2016;2163.780029;-0.001436205;0.00348205;0.003166399;0.003548283;0.011698353;0.0054623;0.002461776
20/07/2016;2173.02002;0.004261209;0.003480982;0.003301597;0.003460004;0.011654094;0.004574314;0.002688219
21/07/2016;2165.169922;-0.00361907;0.003401596;0.00301973;0.002919561;0.011686381;0.004973046;0.00281985
22/07/2016;2175.030029;0.004543627;0.003302689;0.003766572;0.002562856;0.011699445;0.004852759;0.003228363
25/07/2016;2168.47998;-0.003016019;0.003196001;0.003587921;0.001776787;0.011721349;0.003413724;0.003548283
26/07/2016;2169.179932;0.000322733;0.003331022;0.003436964;0.00127693;0.011451064;0.003383171;0.003460004
27/07/2016;2166.580078;-0.001199261;0.003345487;0.00357615;0.002922482;0.007997889;0.002932488;0.002919561
28/07/2016;2170.060059;0.001604921;0.00335298;0.003756605;0.003377425;0.00656215;0.002941365;0.002562856
29/07/2016;2173.600098;0.00162998;0.003509626;0.003773365;0.003267996;0.005824471;0.002602172;0.001776787
01/08/2016;2170.840088;-0.001270594;0.003523389;0.003817026;0.004938536;0.005025425;0.002619961;0.00127693
02/08/2016;2157.030029;-0.006381941;0.003549767;0.004189173;0.004909392;0.004681004;0.003166399;0.002922482
03/08/2016;2163.790039;0.003129043;0.003265763;0.003625283;0.003413256;0.004695543;0.003301597;0.003377425
04/08/2016;2164.25;0.000212549;0.003314907;0.00358652;0.003919772;0.004354967;0.00301973;0.003267996
05/08/2016;2182.870117;0.008566697;0.003359838;0.003649271;0.004130105;0.004528752;0.003766572;0.004938536
08/08/2016;2180.889893;-0.000907577;0.002857399;0.002710607;0.002533457;0.004529701;0.003587921;0.004909392
09/08/2016;2181.73999;0.000389718;0.002890853;0.002748754;0.002665142;0.003467492;0.003436964;0.003413256
10/08/2016;2175.48999;-0.002868797;0.005922397;0.003169365;0.00370396;0.003523239;0.00357615;0.003919772
11/08/2016;2185.790039;0.004723415;0.006747285;0.003085373;0.00353514;0.003371238;0.003756605;0.004130105
12/08/2016;2184.050049;-0.000796363;0.007296844;0.002691679;0.003060978;0.003383955;0.003773365;0.002533457
15/08/2016;2190.149902;0.002789016;0.007297548;0.003181982;0.00310976;0.0032695;0.003817026;0.002665142
16/08/2016;2178.149902;-0.005494142;0.007629071;0.003073693;0.002776098;0.003494015;0.004189173;0.00370396
17/08/2016;2182.219971;0.001866846;0.007590387;0.002732863;0.001503001;0.00348205;0.003625283;0.00353514
18/08/2016;2187.02002;0.002197202;0.007570172;0.002649026;0.002708986;0.003480982;0.00358652;0.003060978
19/08/2016;2183.870117;-0.00144131;0.00754508;0.002883642;0.002313303;0.003401596;0.003649271;0.00310976
22/08/2016;2182.639893;-0.000563482;0.007936654;0.003001079;0.002315243;0.003302689;0.002710607;0.002776098
23/08/2016;2186.899902;0.001949867;0.008065935;0.002994977;0.003542476;0.003196001;0.002748754;0.001503001
24/08/2016;2175.439941;-0.005254055;0.008135646;0.003006932;0.003408786;0.003331022;0.003169365;0.002708986
25/08/2016;2172.469971;-0.00136616;0.008255275;0.007653372;0.002834856;0.003345487;0.003085373;0.002313303
26/08/2016;2169.040039;-0.001580064;0.008381644;0.009024217;0.002795038;0.00335298;0.002691679;0.002315243
29/08/2016;2180.379883;0.005214429;0.008454216;0.009932799;0.003136469;0.003509626;0.003181982;0.003542476
30/08/2016;2176.120117;-0.001955592;0.0085936;0.009698745;0.002621526;0.003523389;0.003073693;0.003408786
31/08/2016;2170.949951;-0.002378691;0.00876864;0.010332459;0.002361467;0.003549767;0.002732863;0.002834856
01/09/2016;2170.860107;-4.13855E-05;0.008780765;0.01035464;0.002319073;0.003265763;0.002649026;0.002795038
02/09/2016;2179.97998;0.004192242;0.00883639;0.010354902;0.010654469;0.003314907;0.002883642;0.003136469
06/09/2016;2186.47998;0.002977242;0.008838676;0.010225524;0.012836814;0.003359838;0.003001079;0.002621526
07/09/2016;2186.159912;-0.000146396;0.008810261;0.010788225;0.013452964;0.002857399;0.002994977;0.002361467
08/09/2016;2181.300049;-0.002225488;0.008827814;0.011000599;0.013418851;0.002890853;0.003006932;0.002319073
09/09/2016;2127.810059;-0.024827742;0.008887633;0.011100864;0.014859417;0.005922397;0.007653372;0.010654469
12/09/2016;2159.040039;0.014570387;0.007628983;0.008592515;0.010446963;0.006747285;0.009024217;0.012836814
13/09/2016;2127.02002;-0.014941748;0.006962108;0.007673767;0.008023419;0.007296844;0.009932799;0.013452964
14/09/2016;2125.77002;-0.000587849;0.006238866;0.006132657;0.004663923;0.007297548;0.009698745;0.013418851
15/09/2016;2147.26001;0.010058516;0.006236972;0.006921597;0.005878255;0.007629071;0.010332459;0.014859417
16/09/2016;2139.159912;-0.003779428;0.005877967;0.006694452;0.00521435;0.007590387;0.01035464;0.010446963
19/09/2016;2139.120117;-1.86033E-05;0.005984196;0.006663486;0.005742994;0.007570172;0.010354902;0.008023419
20/09/2016;2139.76001;0.000299094;0.006001379;0.006876172;0.007284583;0.00754508;0.010225524;0.004663923
21/09/2016;2163.120117;0.010858;0.006009122;0.006961595;0.007629093;0.007936654;0.010788225;0.005878255
22/09/2016;2177.179932;0.006478752;0.005526025;0.006202457;0.006568583;0.008065935;0.011000599;0.00521435
23/09/2016;2164.689941;-0.005753293;0.005437835;0.005887399;0.006861226;0.008135646;0.011100864;0.005742994
26/09/2016;2146.100098;-0.00862485;0.00536767;0.005876951;0.007664212;0.008255275;0.008592515;0.007284583
27/09/2016;2159.929932;0.006423495;0.005074933;0.006471484;0.006643705;0.008381644;0.007673767;0.007629093
28/09/2016;2171.370117;0.005282576;0.004897131;0.006134865;0.006482397;0.008454216;0.006132657;0.006568583
29/09/2016;2151.129883;-0.009365128;0.004751182;0.005835768;0.006303059;0.0085936;0.006921597;0.006861226
30/09/2016;2168.27002;0.007936393;0.004382969;0.005308754;0.004752866;0.00876864;0.006694452;0.007664212
