(Intercept),vix_f,vix^2,vix^3,vix^4,vix^5,vix^6,vix_ln,vix_sqrt,vix_1ov,adjR^2,AIC,delta
-7.374652872,,,0.000267175,-1.39E-06,-1.34E-08,,,4.680701734,,0.55381851,53462.73207,12.95257883
-2.900434562,,0.011591709,,,,-1.02E-10,,3.049699897,,0.553707339,53462.74974,12.97025496
-50.25941108,,,0.000175343,,,-2.11E-10,19.13124239,,140.2889271,0.553816242,53462.77324,12.99375396
-6.827464825,,0.002479675,0.000174474,,-2.06E-08,,,4.458290463,,0.553816065,53462.77645,12.99696376
-61.75321062,-10.76994234,0.055934693,,,-2.25E-08,,-104.5463576,130.4787162,,0.553925819,53462.78402,13.00453578
-14.30755567,,,,8.69E-06,-1.55E-07,6.99E-10,,6.155131658,25.44253869,0.553924341,53462.81085,13.03136221
-2.173068646,,,,4.30E-06,-4.76E-08,,-11.23092954,11.34113785,,0.553813806,53462.81745,13.03795848
-4.063654716,0.431486979,,0.000181758,,-2.03E-08,,3.160890538,,,0.553811493,53462.85943,13.07994176
-580.7150256,21.49269657,,,-4.02E-06,1.78E-08,,697.6326107,-452.0330186,1972.565168,0.554031802,53462.85958,13.08009121
-7.136724852,,,0.000294294,-2.41E-06,,-5.83E-11,,4.605417103,,0.553810966,53462.86901,13.08952177
-9.99108143,-0.255939625,,0.000379595,-3.64E-06,,,,6.279082655,,0.55381037,53462.87982,13.10032952
-4.84131037,,0.014020259,,,-1.04E-08,,4.88697459,,,0.553699636,53462.88952,13.11003008
-5.588150553,,0.007447194,,2.46E-06,-3.30E-08,,,3.968949184,,0.553808254,53462.91824,13.13875023
-0.03798644,0.680067796,,,3.70E-06,-4.23E-08,,,0.315295481,,0.553807613,53462.92987,13.15037812
0.100334628,0.702132465,,,3.67E-06,-4.20E-08,,0.278063605,,,0.55380729,53462.93573,13.15624663
0.475873215,0.734394241,-0.000500714,,3.76E-06,-4.26E-08,,,,,0.553807109,53462.93901,13.15951851
0.721130489,0.715357165,,,3.61E-06,-4.14E-08,,,,-0.990052881,0.553806491,53462.95024,13.17074746
-16.2170255,2.146475332,-0.057565543,0.001162863,-7.65E-06,,,,,73.99755048,0.553916597,53462.95146,13.17196739
0.588036069,0.72004994,,-1.96E-06,3.63E-06,-4.14E-08,,,,,0.55380632,53462.95334,13.17385464
-16.91209891,,,0.000152884,,,-1.90E-10,,6.507484562,40.67495347,0.553806216,53462.95522,13.175735
-2.424606087,,-0.046624347,0.001095649,-7.44E-06,,,-35.05960774,29.96123672,,0.553914786,53462.98432,13.20483253
-64.04254259,,,,5.43E-06,-5.88E-08,,23.20192313,,186.6645886,0.553802771,53463.01775,13.23826671
-385.6426869,8.482869594,0.023267539,,-2.29E-06,,,383.0404706,-220.4430898,1218.716919,0.554022127,53463.03527,13.25578385
-8.079917815,,,0.000353013,-3.42E-06,,,2.33521702,3.180347741,,0.553800612,53463.05695,13.27745982
-471.5412758,17.05990217,,-1.40E-05,-1.76E-06,,,556.8058408,-358.1287207,1596.606959,0.554019792,53463.07767,13.29817983
-10.19032925,,,-0.000174482,1.80E-05,-3.12E-07,1.55E-09,,5.606767812,,0.553908263,53463.10275,13.32326274
-2.79764237,1.303283756,-0.033976076,0.000764837,,-1.22E-07,7.42E-10,,,,0.553908111,53463.10552,13.32603474
-6.793733982,,,,9.02E-06,-1.65E-07,7.62E-10,-3.360464238,7.004999681,,0.553906832,53463.12874,13.34925374
-96.87262291,,,0.000273913,,-2.76E-08,,49.51487457,-11.5559784,271.8526278,0.553905758,53463.14823,13.36874033
-3.557693179,,,0.000145234,,,-1.84E-10,-7.455358697,8.982706029,,0.553794961,53463.15951,13.38001975
12.3889707,,0.01564891,,,-1.24E-08,,,,-64.22772761,0.553684465,53463.16483,13.38534278
-5.50583628,,,0.000339155,-3.28E-06,,,,4.243514474,-5.068828008,0.553794191,53463.17348,13.39399038
-551.4023869,22.20042941,,-0.000233341,,-3.45E-09,,687.3249515,-453.7839656,1903.058412,0.554012678,53463.20687,13.42738104
4.11871951,0.553897975,,0.000166338,,-1.90E-08,,,,-21.10981101,0.553791925,53463.21461,13.43512587
-7.556914227,0.197659795,,0.000345549,-3.38E-06,,,5.607267358,,,0.553790784,53463.23532,13.45582908
-608.4781559,25.18987562,,-0.000305657,,,2.18E-12,770.7333338,-512.4561734,2110.672359,0.554010791,53463.24113,13.46164401
-80.83574109,-0.526174825,,0.00028127,,-2.78E-08,,31.30706919,,217.6370986,0.553900364,53463.24616,13.46667293
13.52433696,2.916032751,-0.067918599,0.001245196,-7.92E-06,,,-12.65680733,,,0.553898559,53463.27894,13.49944908
-1.890404194,0.479219893,,0.000129151,,,-1.74E-10,,1.500733632,,0.553787755,53463.2903,13.51081205
